company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,postcode,lng,lat
FIBREACOUSTICS LIMITED,10501976,Dissolved,Private limited company,,2019-06-04,2016-11-29,,,32200 71121 74100 90030,Chatsworth The Holloway Droitwich WR9 7AJ England,WR9 7AJ,-2.14085,52.260731
PATTERSON GUITARS LIMITED,10346321,Dissolved,Private limited company,,2019-12-03,2016-08-25,,,32200,School House Bridgewater Gardens Edgware HA8 6AP United Kingdom,HA8 6AP,-0.289148,51.599375
HERRBURGER BROOKS LTD.,10395164,Dissolved,Private limited company,,2018-03-06,2016-09-26,,,32200,Spectrum House Europa Way Fforestfach Swansea SA5 4AJ United Kingdom,SA5 4AJ,-3.992477,51.644241
BLOOMSBURY GUITARS LTD,10812371,Dissolved,Private limited company,,2019-07-23,2017-06-09,,,32200,45 Connaught Mansions Coldharbour Lane Brixton London SW9 8LE United Kingdom,SW9 8LE,-0.112644,51.461961
CLM GUITARS LIMITED,10797987,Dissolved,Private limited company,,2018-11-06,2017-06-01,,,32200,10 Wingate Close Kettering NN15 5BD England,NN15 5BD,-0.702719,52.39535
KG CO (UK) LIMITED,10738881,Dissolved,Private limited company,,2023-09-26,2017-04-25,,,32200,1 North Cottage Mayes Lane Warnham Horsham RH12 3SG England,RH12 3SG,-0.349269,51.103835
MOTION CUSTOM WORKS LTD,10716093,Dissolved,Private limited company,,2023-04-11,2017-04-07,,,27900 32200 72190,2 Mount Pleasant Southfield Lane Southfield Burnley BB10 3RJ England,BB10 3RJ,-2.181066,53.82915
FENTON WEILL GUITAR COMPANY LIMITED,10776402,Dissolved,Private limited company,,2019-12-17,2017-05-18,,,32200,2 Bishopstone Farm Cottages Bishopstone Lane Ansty Haywards Heath RH17 5AR England,RH17 5AR,-0.170108,50.982081
BEZALEL GUITARS LIMITED,11265861,Dissolved,Private limited company,,2020-10-20,2018-03-20,,,32200,306 Kings Road Stevenage SG1 1AW United Kingdom,SG1 1AW,-0.203911,51.897832
SHARP AND SHARP (BAGPIPE MAKERS) LIMITED,SC351112,Dissolved,Private limited company,,2018-02-06,2008-11-11,,,32200,79 Garrowhill Drive Baillieston Glasgow G69 6NW Scotland,G69 6NW,-4.127486,55.852966
LAWRIE BAGPIPES LIMITED,SC422894,Dissolved,Private limited company,,2019-11-05,2012-04-27,,,32200,121 Barfillan Drive Craigton Ind Estate Cardonald Glasgow G52 1BQ ,G52 1BQ,-4.350077847167329,55.84774285770749
SHERMANN MANUFACTURING LTD,SC457025,Dissolved,Private limited company,,2019-01-08,2013-08-19,,,32200,36 Main Street Barrhead G78 1RE ,G78 1RE,-4.39618,55.799023
MURRAY ARTISAN DRUMS LTD.,SC459124,Dissolved,Private limited company,,2022-10-25,2013-09-13,,,32200,26 Gannochy Crescent Montrose DD10 9BZ Scotland,DD10 9BZ,-2.465766,56.725234
SC291436 LIMITED,SC291436,Dissolved,Private limited company,,2017-03-21,2005-10-07,,,32200,79 Garrowhill Drive Baillieston Glasgow G69 6NW Scotland,G69 6NW,-4.127486,55.852966
BGR MUSICAL INSTRUMENTS LTD,SC500765,Dissolved,Private limited company,,2018-08-07,2015-03-18,,,32200,272 Bath Street Glasgow G2 4JR Scotland,G2 4JR,-4.268941,55.865464
SAMADHISOUNDSCAPES LIMITED,SC543846,Dissolved,Private limited company,,2018-02-06,2016-08-26,,,32200,"Unit 4 Mill 4 Crofthead Mill Holehouse Brae, Neilston Glasgow G78 3NA Scotland",G78 3NA,-4.436847,55.785155
UK OUSSON MUSICAL INSTRUMENT GROUP LIMITED,12464244,Dissolved,Private limited company,,2021-08-24,2020-02-14,,,32200,Flat 107 25 Indescon Square London E14 9DG England,E14 9DG,-0.020611,51.498167
CAND HEAT AUDIO LTD,12258673,Dissolved,Private limited company,,2021-03-16,2019-10-12,,,27320 32200,16 Verity Crescent Poole BH17 8TJ England,BH17 8TJ,-1.960453,50.746092
LAMAQ DESIGN LTD,09874858,Dissolved,Private limited company,,2019-05-14,2015-11-17,,,32200,Unit 5 Front Street Industrial Estate Shotton Colliery DH6 2ND United Kingdom,DH6 2ND,-1.382907,54.763668
ALPHA GUITARS LTD,11781951,Dissolved,Private limited company,,2020-11-10,2019-01-22,,,32200 46491 47591,42 Westfield Road Southsea PO4 9ES United Kingdom,PO4 9ES,-1.057386,50.789053
SB GUITARS LIMITED,11392638,Dissolved,Private limited company,,2019-11-26,2018-06-01,,,32200 47591,9 Pinfold Road Hunts Cross Liverpool L25 0LT United Kingdom,L25 0LT,-2.854844,53.363196
MUSIC ONLINE LTD,11918932,Dissolved,Private limited company,,2021-01-19,2019-04-01,,,32200 46491 47591,4 James Alexander Mews Gipsy Lane Norwich NR5 8BE United Kingdom,NR5 8BE,1.248219,52.629501
HAYMAN FUTURAMA MUSICAL INSTRUMENTS LIMITED,04828081,Dissolved,Private limited company,,2014-12-02,2003-07-10,,,32200,19 Station Road Addlestone Surrey KT15 2AL ,KT15 2AL,-0.492075,51.371055
ACOUSTICX LTD,09311377,Dissolved,Private limited company,,2020-09-22,2014-11-14,,,32200,Flat 2 The Grange Hough End Lane Leeds LS13 4HD England,LS13 4HD,-1.630082,53.802627
JSFX LTD,09091871,Dissolved,Private limited company,,2017-08-01,2014-06-18,,,32200,The Gables High Street Little Addington Kettering NN14 4BD ,NN14 4BD,-0.593045,52.352504
JOSEPH LUKES GUITARS LTD.,07598130,Dissolved,Private limited company,,2017-10-17,2011-04-11,,,32200,86-90 4th Floor Paul Street London EC2A 4NE ,EC2A 4NE,-0.083602,51.525617
CHEQUERPLATE DRUMS AND PERCUSSION LIMITED,08052117,Dissolved,Private limited company,,2016-10-18,2012-05-01,,,32200,Countrywide House Knights Way Shrewsbury SY1 3AB ,SY1 3AB,-2.738732,52.74531
RAINCOURT CONSULTANTS LIMITED,03010362,Dissolved,Private limited company,,2019-03-26,1995-01-16,,,32200 74909,41 Thurnham Court Thomas Wyatt Road Devizes SN10 5FL England,SN10 5FL,-1.988201,51.338374
WOODBROWN (ORGAN BUILDERS) LIMITED,01226623,Dissolved,Private limited company,,2014-10-21,1975-09-16,,,32200,St Giles House Langridge Lane Haywards Heath RH16 3LG ,RH16 3LG,-0.091335,51.000209
AIRGUITAR LIMITED,09791884,Dissolved,Private limited company,,2018-11-20,2015-09-23,,,32200,1 Hartley Close Dibden Purlieu Southampton SO45 4LU United Kingdom,SO45 4LU,-1.403881,50.854342
MIKI'S INSTRUMENTS LTD,09518208,Dissolved,Private limited company,,2017-09-26,2015-03-31,,,32200,Unit 42 Price Street Business Centre Birkenhead CH41 4JQ United Kingdom,CH41 4JQ,-3.036341,53.399009
NORTH CUSTOM DRUMS LTD,09535840,Dissolved,Private limited company,,2019-08-15,2015-04-10,,,32200,Xl Business Solutions Limited Premier House Bradford Road Cleckheaton BD19 3TT ,BD19 3TT,-1.720567,53.730715
32 DRUMS LIMITED,09646190,Dissolved,Private limited company,,2018-08-14,2015-06-18,,,32200,22 Hopton Rise Haverhill CB9 7FS United Kingdom,CB9 7FS,0.406132,52.088017
CHRISTIAN HOWES MUSIC LIMITED,08631796,Dissolved,Private limited company,,2016-03-08,2013-07-31,,,32200,143a High Street Cherry Hinton Cambridge CB1 9LN ,CB1 9LN,0.17715,52.191042
UROX LIMITED,08382692,Dissolved,Private limited company,,2018-03-20,2013-01-31,,,32200 32300 46491 47640,7 Ashgrove Bradford BD7 1BN ,BD7 1BN,-1.763877,53.789472
ROBSON MEDIA LIMITED,08394175,Dissolved,Private limited company,,2017-04-04,2013-02-07,,,32200,The Hart Shaw Building Europa Link Sheffield Business Park Sheffield S9 1XU ,S9 1XU,-1.393437,53.395633
WINDY HILL GUITARS LTD,08391116,Dissolved,Private limited company,,2018-07-24,2013-02-06,,,32200,Avery House 8 Avery Hill Road New Eltham London SE9 2BD ,SE9 2BD,0.073733,51.438245
HOLMWOOD GUITARS LTD,08565856,Dissolved,Private limited company,,2016-08-16,2013-06-12,,,32200,13 Winchester Street Brighton BN1 4NX ,BN1 4NX,-0.138242,50.835083
POPII LIMITED,08521952,Dissolved,Private limited company,,2018-05-01,2013-05-09,,,32200,Office 7 12 The Square Market Harborough LE16 7PA England,LE16 7PA,-0.920363,52.477914
CREATIVE HERTZ LTD,08555557,Dissolved,Private limited company,,2016-11-22,2013-06-04,,,32200,Lypiatt Cottage 21 Tivoli Walk Cheltenham GL50 2UX England,GL50 2UX,-2.087598,51.891883
MODULUS MUSIC LTD,08617320,Dissolved,Private limited company,,2016-03-01,2013-07-19,,,32200,4th Floor Portwall Place Portwall Lane Bristol BS1 6NA ,BS1 6NA,-2.587913,51.44953
MODULUS ELECTRONICS LTD,08617323,Dissolved,Private limited company,,2016-03-01,2013-07-19,,,32200,4th Floor Portwall Place Portwall Lane Bristol BS1 6NA ,BS1 6NA,-2.587913,51.44953
UNDA MARIS LIMITED,05404020,Dissolved,Private limited company,,2015-06-16,2005-03-24,,,32200,44 Chapmore End Ware Hertfordshire SG12 0HF ,SG12 0HF,-0.073741,51.83031
DJ & CM ENTERPRISES LTD,07919749,Dissolved,Private limited company,,2017-05-16,2012-01-23,,,31090 32200,18 Southend Road Weston-Super-Mare BS23 4JZ ,BS23 4JZ,-2.974397,51.333483
SERENITY MUSIC LIMITED,08901193,Dissolved,Private limited company,,2018-02-06,2014-02-19,,,32200,Woodyard The Green Wilmington Polegate BN26 5SP England,BN26 5SP,0.195207,50.824339
AXIOM CREATIVITY LTD,08788145,Dissolved,Private limited company,,2016-03-08,2013-11-25,,,32200,12 Forest Drive West London E11 1LA ,E11 1LA,-0.002137,51.571343
FORECAST DRUMS LIMITED,08791784,Dissolved,Private limited company,,2019-08-20,2013-11-27,,,32200 47591,34 High Street Aldridge Walsall WS9 8LZ ,WS9 8LZ,-1.915548,52.605159
GREATDAY LIMITED,08751169,Dissolved,Private limited company,,2015-08-04,2013-10-28,,,32200 70229 73200,26 Honeybottom Road Tadley RG26 4JP ,RG26 4JP,-1.144566,51.355596
CLASS D LIMITED,08735291,Dissolved,Private limited company,,2016-03-29,2013-10-16,,,32200,45 Robin Hood Road Blidworth Mansfield NG21 0ST ,NG21 0ST,-1.105755,53.099721
NICKCOOPERVIOLINS LIMITED,08704508,Active,Private limited company,,,2013-09-24,,,32200 46491 47591,155a Boundary Road Newark NG24 4AU England,NG24 4AU,-0.817316,53.070427
MICHAEL GILLETT INSTRUMENTS LTD,07570678,Active,Private limited company,,,2011-03-21,,,32200,19 Worthington Close Wedmore BS28 4EE ,BS28 4EE,-2.80604,51.228944
CORDS AND COVERS LTD,SC810937,Active,Private limited company,,,2024-05-19,,,32200,4 Greenfield Court Elgin IV30 5AB Scotland,IV30 5AB,-3.32606,57.663337
DONAL MCGREEVY GUITARS LTD,NI678091,Active,Private limited company,,,2021-04-06,,,32200,19 Alder Grange Saintfield Ballynahinch BT24 7GB Northern Ireland,BT24 7GB,-5.766543,54.450074
LAMAQ GUITARS LTD,10572066,Active,Private limited company,,,2017-01-19,,,32200,Unit 6 Front Street Industrial Estate Shotton Colliery DH6 2ND United Kingdom,DH6 2ND,-1.382907,54.763668
TARAN GUITARS LIMITED,SC680385,Active,Private limited company,,,2020-11-10,,,32200,"C/O Ascot Drummond Uk Ltd River Court, 5 West Victoria Dock Road Dundee DD1 3JT Scotland",DD1 3JT,-2.961632,56.45956
DRASKOCZY AND IHLE LIMITED,10970773,Active,Private limited company,,,2017-09-19,,,32200,Robert Blair Primary School Brewery Road London N7 9QJ England,N7 9QJ,-0.119643,51.545184
SIXTY FOUR PIXELS LTD,08568476,Active,Private limited company,,,2013-06-13,,,32200 62012,42 Robertson Road Brighton BN1 5NJ England,BN1 5NJ,-0.155079,50.843876
OSPREY VENTURES LTD,15844471,Active,Private limited company,,,2024-07-17,,,32200,15 Travis Way Stoke-On-Trent ST11 9FD United Kingdom,ST11 9FD,-2.053477,52.962053
PIANO MANUFACTURING LIMITED,15844959,Active,Private limited company,,,2024-07-17,,,32200,7 Bray Road Maidenhead SL6 1UF England,SL6 1UF,-0.708831,51.516765
FERGUSON HOEY & COMPANY LIMITED,12443871,Dissolved,Private limited company,,2024-05-28,2020-02-05,,,32200 47591,Unit 7 Beech Avenue Business Park Beech Avenue Taverham Norwich NR8 6HW United Kingdom,NR8 6HW,1.184269,52.684462
LOTTIE CANTO LTD,13423009,Active,Private limited company,,,2021-05-26,,,32200,88 Hill Village Road Sutton Coldfield B75 5BE England,B75 5BE,-1.831284,52.591872
ARIETTA MUSICAL CONCEPTS LIMITED,12978746,Active,Private limited company,,,2020-10-27,,,32200,40 Darby Vale Warfield Bracknell RG42 2PQ England,RG42 2PQ,-0.753797,51.428571
RAIMONDCONNECTICUT LTD,15755091,Active,Private limited company,,,2024-06-01,,,32200,9 Tibbatts Road London E3 3PG England,E3 3PG,-0.017066,51.524052
SUNFLOWER GUITARS LTD,15732081,Active,Private limited company,,,2024-05-21,,,32200,45 Causeway View Nailsea Bristol BS48 2XL England,BS48 2XL,-2.777146,51.432306
HADDENHASIT LIMITED,15856105,Active,Private limited company,,,2024-07-24,,,32200,35 Brookside Road Mile Oak Tamworth B78 3NR England,B78 3NR,-1.720785,52.616584
AISTRUP HIND ORGAN BUILDERS LTD,04647323,Active,Private limited company,,,2003-01-24,,,32200,46 Skellingthorpe Road Lincoln LN6 7RB ,LN6 7RB,-0.564236,53.210833
MOLINDAR LTD,SC704557,Active,Private limited company,,,2021-07-20,,,32200,1 Queen Johanna Drive Inverbervie Montrose DD10 0PD Scotland,DD10 0PD,-2.287005,56.843925
LANEY INDUSTRIES LTD,15866397,Active,Private limited company,,,2024-07-30,,,32200,Fidlers Green Bell Lane Cocking Midhurst GU29 0HU England,GU29 0HU,-0.753666,50.951524
AJH SYNTH LIMITED,13517601,Active,Private limited company,,,2021-07-19,,,26400 27900 32200 47990,48 Cunningham Court Sedgefield Stockton-On-Tees TS21 3BP United Kingdom,TS21 3BP,-1.452693,54.662786
PANAMOR HANDPANS LIMITED,11655426,Active,Private limited company,,,2018-11-01,,,32200,Unit 3 6 Marsh Green Road North Marsh Barton Trading Estate Exeter EX2 8NY England,EX2 8NY,-3.527658,50.708784
DAVID WELLS ORGAN BUILDERS LIMITED,03850827,Active,Private limited company,,,1999-09-30,,,32200,Cathedral Works 52 Westminster Road Kirkdale L4 4LT ,L4 4LT,-2.978377,53.431102
FLYING MOJO RECORDS LIMITED,04594274,Active,Private limited company,,,2002-11-19,,,26110 32200 59200,63 West Street Harwich CO12 3DB England,CO12 3DB,1.287582,51.945707
MU2 CUSTOM LTD,12006294,Dissolved,Private limited company,,2024-08-27,2019-05-20,,,32200,17 Whitland Avenue Bolton BL1 5FB England,BL1 5FB,-2.474368,53.581651
FLATTLEY LIMITED,10472800,Active,Private limited company,,,2016-11-10,,,32200,4a Hall Close Heckington Sleaford NG34 9SF England,NG34 9SF,-0.29455,52.982967
COPEMAN HART & COMPANY LIMITED,00696548,Active,Private limited company,,,1961-06-26,,,32200,30 Manchester Road Shaw Oldham OL2 7DE ,OL2 7DE,-2.099688,53.573338
BUZZING BUGS AUDIO DEVICES LTD,13826104,Active,Private limited company,,,2022-01-04,,,32200,63 Tregolls Road Truro TR1 1LE England,TR1 1LE,-5.036892,50.269151
CREAM T CUSTOM SHOP LTD,14190858,Active,Private limited company,,,2022-06-23,,,32200,115 New Court Way Ormskirk L39 2YT United Kingdom,L39 2YT,-2.881002,53.570331
TOM SANDS GUITARS INTERNATIONAL LTD,12644819,Active,Private limited company,,,2020-06-04,,,32200,Unit 5 Low Mills Phoenix Business Centre Low Mill Road Ripon HG4 1NS England,HG4 1NS,-1.516137,54.134085
SELBORNE GUITARS LIMITED,14885935,Active,Private limited company,,,2023-05-22,,,32200,Bells Cottage Gracious Street Selborne Alton GU34 3JB United Kingdom,GU34 3JB,-0.946086,51.097661
VIVA VIOLINS LIMITED,13654042,Active,Private limited company,,,2021-09-30,,,32200 33190,"Office 8, The Barns Farm Road Caddsdown Industrial Park Bideford EX39 3BT United Kingdom",EX39 3BT,-4.233187,51.006235
R.G.LAWRIE LIMITED,SC426444,Active,Private limited company,,,2012-06-19,,,32200,40 Blythswood Drive Paisley PA3 2ES United Kingdom,PA3 2ES,-4.428319,55.851088
OVERWATER DESIGN AND MARKETING LIMITED,07730541,Active,Private limited company,,,2011-08-05,,,32200,Overwater Atlas Works Nelson Street Carlisle CA2 5NB ,CA2 5NB,-2.941175,54.887198
WHISPERSMITH LIMITED,13759862,Active,Private limited company,,,2021-11-23,,,32200,Pendalog Farm Ffordd Y Cain Llanfyllin SY22 5ET United Kingdom,SY22 5ET,-3.262048,52.775865
AMI TECHNOLOGY CONSULTING LTD,14890287,Active,Private limited company,,,2023-05-24,,,32200 59200 62012,71-75 Shelton Street London WC2H 9JQ England,WC2H 9JQ,-0.123615,51.514897
BRIDGE VIOLINS LIMITED,05315833,Active,Private limited company,,,2004-12-17,,,32200,28 Boston Road Sleaford NG34 7ET England,NG34 7ET,-0.407958,52.996676
LONDON MUSICAL INSTRUMENTS LIMITED,06967619,Active,Private limited company,,,2009-07-21,,,32200,145/147 Hatfield Road St. Albans AL1 4JY ,AL1 4JY,-0.316405,51.752764
MICHAEL RATH BRASS MUSICAL INSTRUMENTS LIMITED,04233517,Active,Private limited company,,,2001-06-13,,,32200 47591,Windover House St. Ann Street Salisbury SP1 2DR England,SP1 2DR,-1.792055,51.065768
"HENRY WILLIS & SONS,LIMITED",00070718,Active,Private limited company,,,1901-07-03,,,32200,72 St Anne Street Liverpool Merseyside L3 3DY ,L3 3DY,-2.977305,53.413889
CRIMSON GUITARS LIMITED,08479886,Active,Private limited company,,,2013-04-09,,,32200,The Old Dairy Piddlehinton Dorchester DT2 7TH ,DT2 7TH,-2.393883,50.78117
G7TH LIMITED,04006037,Active,Private limited company,,,2000-06-01,,,32200,27 Westhawe Bretton Peterborough PE3 8BA ,PE3 8BA,-0.291987,52.595838
RESONET (UK) LIMITED,11582037,Active,Private limited company,,,2018-09-21,,,26400 32200 47910 82990,7 Bell Yard Bell Yard London WC2A 2JR England,WC2A 2JR,-0.111772,51.514455
SHACKLETON INSTRUMENTS LIMITED,10489662,Dissolved,Private limited company,,2024-07-02,2016-11-21,,,32200 47591,Reedside Farm Lane Ranworth Norwich NR13 6HY United Kingdom,NR13 6HY,1.490894,52.67735
WISEMAN CASES LTD,09666821,Active,Private limited company,,,2015-07-02,,,32200,"Unit L, The Franklin Industrial Estate London SE20 8HW United Kingdom",SE20 8HW,-0.055002,51.412843
ROWAN AND BIRCH LIMITED,SC134691,Dissolved,Private limited company,,2013-11-08,1991-10-25,,,32200,20 Hallhill Road Glasgow G32 0HW Scotland,G32 0HW,-4.152056,55.855513
HONG ZHANG LTD,13646675,Dissolved,Private limited company,,2023-03-21,2021-09-28,,,32200,13646675: COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
CHURCHORGANWORLD LIMITED,08062838,Active,Private limited company,,,2012-05-09,,,32200,30 Manchester Road Shaw Oldham OL2 7DE ,OL2 7DE,-2.099688,53.573338
RINKO LIMITED,11798572,Dissolved,Private limited company,,2024-06-11,2019-01-31,,,32200 47799,Bespoke Spaces 465c Hornsey Road London N19 4DR England,N19 4DR,-0.123139,51.56782
SOUNDTRONICS LTD,10205059,Active,Private limited company,,,2016-05-28,,,32200,Unit 29 Webb Ellis Business Park Woodside Park Rugby CV21 2NP England,CV21 2NP,-1.260222,52.380241
HATHERSTONE LTD,11396945,Active,Private limited company,,,2018-06-04,,,32200,23 Cransley Crescent Bristol BS9 4PH England,BS9 4PH,-2.602079,51.491485
UK GRACETITLE PIANO GROUP LIMITED,15778294,Active,Private limited company,,,2024-06-14,,,32200 46491 47591,Suite 6690 61 Bridge Street Kington HR5 3DJ United Kingdom,HR5 3DJ,-3.028491,52.20349
GOETZE AND GWYNN LIMITED,04857168,Active,Private limited company,,,2003-08-06,,,32200,"1 East Workshops, Welbeck Worksop Notts S80 3LW ",S80 3LW,-1.176178,53.262081
PATTERSONIC LTD,10346796,Active,Private limited company,,,2016-08-25,,,32200 47591 47910,School House Bridgewater Gardens Edgware HA8 6AP United Kingdom,HA8 6AP,-0.289148,51.599375
HARXY INTERNATIONAL LIMITED,13455348,Dissolved,Private limited company,,2022-12-20,2021-06-14,,,32200,International House 12 Constance Street London Silvertown E16 2DQ United Kingdom,E16 2DQ,0.04539,51.502673
GWARI KERNOW LTD,13163894,Dissolved,Private limited company,,2022-09-06,2021-01-28,,,32200,Tre-Ru House The Leats Truro TR1 3AG England,TR1 3AG,-5.053704,50.264068
LYONS CLARINET COMPANY LIMITED,01997375,Dissolved,Private limited company,,2022-12-13,1986-03-07,,,32200,11 Tinley Garth Kirkbymoorside York YO62 6AR ,YO62 6AR,-0.933988,54.269418
BPC (LONDON) LIMITED,14096658,Dissolved,Private limited company,,2023-10-17,2022-05-10,,,32200 46491,Sidings House Sidings Court Doncaster DN4 5NU England,DN4 5NU,-1.12191,53.508492
SUTCAN LTD,13856723,Dissolved,Private limited company,,2023-06-27,2022-01-18,,,32200 46491 47591 47599,291 Brighton Road South Croydon CR2 6EQ United Kingdom,CR2 6EQ,-0.098321,51.352071
IANCU MUSIC LTD,13984139,Dissolved,Private limited company,,2023-08-22,2022-03-17,,,32200 46491 59200,56 Crockford Road West Bromwich B71 2ET England,B71 2ET,-1.997858,52.546179
UK GUITAR BUILDERS LTD,13600696,Liquidation,Private limited company,,,2021-09-03,,,32200,7 Smithford Walk Liverpool L35 1SF ,L35 1SF,-2.820065,53.397309
MDP LUTHIERY LTD,13304912,Dissolved,Private limited company,,2023-01-24,2021-03-31,,,32200,16 New Road Littleport Ely CB6 1PX England,CB6 1PX,0.305101,52.46075
PJSGUITARS LTD,13308940,Active,Private limited company,,,2021-04-01,,,32200,7 Coleman Avenue New Balderton Newark NG24 3DR England,NG24 3DR,-0.793168,53.055397
